DateTime,PM10,CO,DirViento,TraficoVehicular,ActividadIndustrial,EventoClimatico,PM25_lag1,PM25_lag2,PM25_lag3,PM25_lag4,PM25_lag5,PM25_lag6,PM25,PM10_CO_interaction,Wind_Traffic_interaction,Industrial_Event_ratio,log_PM10,squared_CO,random_noise,PM10_squared,log_CO,inv_Traffic,cos_Viento,PM25_lag_mean,PM10_lag1,PM10_lag2,PM10_lag3,CO_lag1,CO_lag2,CO_lag3
2010-01-31,49.60645161290322,1.096774193548387,170.0,14.68351147750257,25.441501675762336,225.92807295561528,15.210714285714284,15.195238095238096,14.221428571428572,10.544444444444444,9.121052631578948,7.594444444444444,17.625806451612902,54.40707596253901,2496.196951175437,0.1126088548019953,3.92407907039699,1.2029136316337148,0.0152302985640802,2460.8000416233085,0.7404000654104907,0.0680989627426184,-0.984807753012208,11.981220412141466,44.06666666666666,41.824,44.13548387096775,1.089655172413793,1.1217391304347826,1.1129032258064515
2010-03-31,51.49354838709677,0.7684210526315789,146.33333333333334,18.56075748496015,25.83736039369375,225.6154383880602,17.625806451612902,15.210714285714284,15.195238095238096,14.221428571428572,10.544444444444444,9.121052631578948,18.903448275862072,39.56872665534805,2716.057511965835,0.1145194693402755,3.960690274181422,0.5904709141274237,-0.0023415337472333,2651.5855254942767,0.570087087802718,0.0538742088840596,-0.832276776722278,13.653114080002874,49.60645161290322,44.06666666666666,41.824,1.096774193548387,1.089655172413793,1.1217391304347826
2010-04-30,47.20666666666667,1.0523809523809524,188.1851851851852,20.90814178505592,24.862515782734103,222.8152713718225,18.903448275862072,17.625806451612902,15.210714285714284,15.195238095238096,14.221428571428572,10.544444444444444,16.944444444444443,49.67939682539683,3934.602533698857,0.1115835351772693,3.875497324078696,1.1075056689342404,-0.0023413695694918,2228.469377777778,0.719000559386279,0.0478259705864501,-0.989813076998424,15.283513354050063,51.49354838709677,49.60645161290322,44.06666666666666,0.7684210526315789,1.096774193548387,1.089655172413793
2010-05-31,36.95806451612904,1.1419354838709677,178.03225806451613,18.741905111938458,20.07911451638945,221.8240788982328,16.944444444444443,18.903448275862072,17.625806451612902,15.210714285714284,15.195238095238096,14.221428571428572,13.187096774193549,42.20372528616026,3336.6636875093013,0.0905181913776053,3.636481984984737,1.304016649323621,0.0157921281550739,1365.8985327783566,0.7617098519972418,0.0533535219875301,-0.9994103173707568,16.35018002071673,47.20666666666667,51.49354838709677,49.60645161290322,1.0523809523809524,0.7684210526315789,1.096774193548387
2010-07-31,39.36,1.264,180.6,9.546152974796286,19.821936541875345,222.64781796157905,13.187096774193549,16.944444444444443,18.903448275862072,17.625806451612902,15.210714285714284,15.195238095238096,13.18,49.75104,1724.0352272482091,0.0890282089190188,3.697839195485408,1.597696,0.007674347291529,1549.2096,0.8171331603409365,0.1047432677196981,-0.9999451693655124,16.177791387844227,36.95806451612904,47.20666666666667,51.49354838709677,1.1419354838709677,1.0523809523809524,0.7684210526315789
2010-08-31,46.84838709677419,1.1580645161290322,168.74193548387098,9.211338268552456,24.69925885768553,225.2508763770294,13.18,13.187096774193549,16.944444444444443,18.903448275862072,17.625806451612902,15.210714285714284,16.5258064516129,54.2534547346514,1554.3390478321903,0.1096522204277296,3.86803740984442,1.3411134235171691,-0.0046947438593495,2194.771373569198,0.7692117626490365,0.1085500739170242,-0.9807578112649936,15.84191837197121,39.36,36.95806451612904,47.20666666666667,1.264,1.1419354838709677,1.0523809523809524
2010-09-30,59.13,1.0933333333333333,229.0,18.9656673598051,31.145553691186727,223.9538497019917,16.5258064516129,13.18,13.187096774193549,16.944444444444443,18.903448275862072,17.625806451612902,21.046666666666667,64.6488,4343.137825395368,0.1390713023846646,4.0965088850514775,1.1953777777777777,0.0054256004358596,3496.3569,0.7387576918119976,0.0527240754018409,-0.6560590289905074,16.06110039962098,46.84838709677419,39.36,36.95806451612904,1.1580645161290322,1.264,1.1419354838709677
2010-10-31,48.190322580645166,0.9733333333333332,171.70967741935485,19.163988183951908,24.262537964344737,222.7553222034571,21.046666666666667,16.5258064516129,13.18,13.187096774193549,16.944444444444443,18.903448275862072,16.733333333333334,46.90524731182796,3290.64222913471,0.1089201264213298,3.895696908635821,0.9473777777777774,-0.0046341769281246,2322.3071904266394,0.6797241602278045,0.0521784824703082,-0.9895501571251734,16.631243768796605,59.13,46.84838709677419,39.36,1.0933333333333333,1.1580645161290322,1.264
2010-11-30,50.79,1.1344827586206896,261.6896551724138,15.406883722696158,26.38240782225997,220.8867207177672,16.733333333333334,21.046666666666667,16.5258064516129,13.18,13.187096774193549,16.944444444444443,18.43928571428572,57.62037931034482,4031.822088673832,0.1194386317886933,3.9471970804358,1.28705112960761,-0.0046572975357025,2579.6241,0.7582243497040764,0.0649018397333163,-0.1445348588165954,16.269557945041814,48.190322580645166,59.13,46.84838709677419,0.9733333333333332,1.0933333333333333,1.1580645161290322
2010-12-31,50.57692307692308,1.1966666666666663,229.0,16.56075882757086,25.363470792727043,222.02368121346976,18.43928571428572,16.733333333333334,21.046666666666667,16.5258064516129,13.18,13.187096774193549,18.110714285714288,60.52371794871794,3792.413771513727,0.1142376819439502,3.9430743452601966,1.4320111111111102,0.0024196227156603,2558.0251479289946,0.786941059846306,0.0603800605002935,-0.6560590289905074,16.51869815668203,50.79,48.190322580645166,59.13,1.1344827586206896,0.9733333333333332,1.0933333333333333
